id,name,street,postal_code,city,latitude,longitude
0,Pharmacie Principale,53 Rue nationale,60800,Crépy-en-Valois,49.236802,2.887699
1,Pharmacie de Magny,40 Rue de la Clef des Champs,77700,Magny-le-Hongre,48.867429,2.813369
2,Pharmacie Avicenne,33 Rue d'Esbly,77700,Coupvray,48.894811,2.794229
3,Pharmacie Lepesme,2-4 Pl. Charles de Gaulle,77540,Rozay-en-Brie,48.683345,2.956902
4,PHARMACIE LEFEBVRE TOULET KAREN,5 Rue de la Couture,77510,Villeneuve-sur-Bellot,48.861924,3.341367
5,Pharmacie des Ormes,8 Rue Georges Faroy,77515,Faremoutiers,48.801006,2.985533
6,Pharmacie de l'Olivier,35 Rue du Docteur Roux,77450,Montry,48.886352,2.824806
7,Pharmacie du Faubourg,58 Rue Fbg Saint-Nicolas,77100,Meaux,48.941582,2.892441
8,PHARMACIE DU PARC,4 Avenue du Parc,77124,Villenoy,48.94406,2.864255
9,Aprium Pharmacie St Soupplets,35 Rue du Bourget,77165,Saint-Soupplets,49.037219,2.804373
