id,latitude,longitude
1,49.226409,2.881524
2,48.683345,2.956902
3,48.825186,3.14417
4,48.804265,3.091357
5,48.957825,2.945749
6,48.861602,2.949923
7,48.886352,2.824806
8,49.090488,3.075164
9,48.812503,3.083268
10,48.949478,3.130178
11,48.758631,3.218955
12,48.945537,3.130695
13,49.037219,2.804373
14,48.817297,3.091134
15,49.024682,3.022004
16,48.847628,3.231976
17,48.60694,2.890953
18,49.232469,2.878542
19,49.024825,3.020362
20,49.046389,2.662412
21,48.900584,2.811949
22,49.172116,2.733907
23,48.926895,3.129969
24,48.948053,3.132662
25,48.782857,3.305659
26,48.959419,2.860787
27,49.156262,2.954138
28,48.900976,2.876766
29,49.13887,2.80958
30,48.900584,2.811949
31,49.004524,2.928761
32,48.825365,3.037302
33,48.849982,2.81965
34,49.236802,2.887699
35,48.706751,2.868672
36,48.806217,3.020071
37,49.051627,2.671449
38,48.701927,3.24437
39,49.009659,2.83118
40,48.665103,2.840983
41,47.781961,3.58356
42,48.941582,2.892441
43,48.642802,2.835865
44,48.867429,2.813369
45,48.926018,2.71975
46,48.616327,3.197391
47,48.894811,2.794229
48,48.780843,3.304961
49,49.070347,2.801769
50,48.878641,2.763307
51,48.953221,2.912515
52,48.861924,3.341367
53,48.94406,2.864255
54,49.07753,2.783077
55,49.014653,2.708968
56,48.711638,2.856476
57,48.740163,2.764796
58,48.630919,2.80994
59,48.94793,2.895375
60,49.156426,2.954135
61,48.813526,3.083797
62,48.740172,2.738448
63,49.234527,2.887277
64,48.952374,2.912741
65,48.93615,2.876124
66,48.813409,2.829504
67,48.857311,2.908697
68,48.793845,3.023811
69,49.137808,3.077449
70,48.881874,2.850669
71,48.957707,2.951751
72,48.945258,2.686254
73,48.940741,2.6794
74,48.95022,3.129599
75,49.092782,2.754047
76,48.824218,2.957423
77,48.849982,2.81965
78,48.950984,3.021592
79,49.036117,2.684093
80,48.740468,2.726132
81,48.796652,2.705915
82,48.796146,2.650341
83,48.801006,2.985533
84,49.072507,2.676166
85,48.936384,2.884618
