origin_id,destination_id,distance_km,duration_min
PHARMACIE DU PARC,Pharmacie Lcce -Pharmacie du centre,7.615939999999999,12.730333333333334
PHARMACIE DU PARC,Pharmacie de l'Hotel de Ville,31.64207,28.470000000000002
PHARMACIE DU PARC,Pharmacie Godart,33.82564,34.05433333333333
PHARMACIE DU PARC,Pharmacie de Acy en Multien,21.51647,27.029
PHARMACIE DU PARC,Pharmacie Principale,41.28839,46.48066666666667
PHARMACIE DU PARC,Pharmacie Dufour,30.45461,37.008500000000005
PHARMACIE DU PARC,Pharmacie De Mouroux,25.923689999999997,29.826
PHARMACIE DU PARC,Pharmacie Forum Santé de Rebais SELAS,44.93731,44.02133333333334
PHARMACIE DU PARC,Pharmacie du Breon,33.473620000000004,32.064
PHARMACIE DU PARC,Pharmacie des Remparts,41.02213,45.8065
PHARMACIE DU PARC,Pharmacie ROSSET,8.38132,16.939333333333334
PHARMACIE DU PARC,Pharmacie Parisot,28.46361,29.79416666666667
PHARMACIE DU PARC,Pharmacie du Haudouin,28.453419999999998,32.163666666666664
PHARMACIE DU PARC,La Pharmacie de Guignes,43.81855,44.19733333333333
PHARMACIE DU PARC,Pharmacie Khin de St Germain sur Morin,12.046520000000001,17.534333333333333
PHARMACIE DU PARC,Pharmacie de Beton-Bazoches,63.292370000000005,54.315333333333335
PHARMACIE DU PARC,Pharmacie Centrale Noël,30.558439999999997,36.796166666666664
PHARMACIE DU PARC,Grande Pharmacie Du centre,23.785580000000003,28.973166666666668
PHARMACIE DU PARC,Pharmacie Avicenne,9.25681,16.534166666666668
PHARMACIE DU PARC,Pharmacie de St Mard Elsie,295.10744,186.16983333333334
PHARMACIE DU PARC,Pharmacie de Chessy,13.102469999999999,21.84283333333333
PHARMACIE DU PARC,PHARMACIE DE JUILLY,17.23838,22.061333333333334
PHARMACIE DU PARC,PHARMACIE PRINCIPALE,39.67372,35.17733333333333
PHARMACIE DU PARC,Pharmacie de Quincy-Voisins,8.99789,13.258833333333333
PHARMACIE DU PARC,Pharmacie principale de Mareuil - Elsie Santé,5.23627,11.220333333333334
PHARMACIE DU PARC,PHARMACIE DU MARCHÉ,21.395220000000002,20.660833333333336
PHARMACIE DU PARC,Pharmacie Lepesme,41.73809,38.99533333333333
PHARMACIE DU PARC,Pharmacie de la Gare,7.615939999999999,12.730333333333334
Pharmacie Lcce -Pharmacie du centre,PHARMACIE DU PARC,7.771319999999999,12.982
Pharmacie Lcce -Pharmacie du centre,Pharmacie de l'Hotel de Ville,33.12739,30.526333333333334
Pharmacie Lcce -Pharmacie du centre,Pharmacie Godart,24.86769,29.424
Pharmacie Lcce -Pharmacie du centre,Pharmacie de Acy en Multien,28.31241,32.667
Pharmacie Lcce -Pharmacie du centre,Pharmacie Principale,48.08433,52.11866666666666
Pharmacie Lcce -Pharmacie du centre,Pharmacie Dufour,37.25054,42.646499999999996
Pharmacie Lcce -Pharmacie du centre,Pharmacie De Mouroux,19.66095,24.3265
Pharmacie Lcce -Pharmacie du centre,Pharmacie Forum Santé de Rebais SELAS,36.26836,44.44866666666667
Pharmacie Lcce -Pharmacie du centre,Pharmacie du Breon,24.515669999999997,27.433666666666667
Pharmacie Lcce -Pharmacie du centre,Pharmacie des Remparts,47.81805,51.44433333333333
Pharmacie Lcce -Pharmacie du centre,Pharmacie ROSSET,16.0409,25.497333333333334
Pharmacie Lcce -Pharmacie du centre,Pharmacie Parisot,16.43345,22.566333333333333
Pharmacie Lcce -Pharmacie du centre,Pharmacie du Haudouin,35.24936,37.801500000000004
Pharmacie Lcce -Pharmacie du centre,La Pharmacie de Guignes,34.86061,39.567
Pharmacie Lcce -Pharmacie du centre,Pharmacie Khin de St Germain sur Morin,3.93986,6.019
Pharmacie Lcce -Pharmacie du centre,Pharmacie de Beton-Bazoches,54.33442,49.68483333333334
Pharmacie Lcce -Pharmacie du centre,Pharmacie Centrale Noël,24.2957,31.296666666666667
Pharmacie Lcce -Pharmacie du centre,Grande Pharmacie Du centre,30.581509999999998,34.61116666666667
Pharmacie Lcce -Pharmacie du centre,Pharmacie Avicenne,1.66854,3.8886666666666665
Pharmacie Lcce -Pharmacie du centre,Pharmacie de St Mard Elsie,296.59275,188.22616666666667
Pharmacie Lcce -Pharmacie du centre,Pharmacie de Chessy,5.514189999999999,9.197333333333335
Pharmacie Lcce -Pharmacie du centre,PHARMACIE DE JUILLY,18.78779,25.297166666666666
Pharmacie Lcce -Pharmacie du centre,PHARMACIE PRINCIPALE,29.52525,31.6385
Pharmacie Lcce -Pharmacie du centre,Pharmacie de Quincy-Voisins,6.624479999999999,10.919166666666666
Pharmacie Lcce -Pharmacie du centre,Pharmacie principale de Mareuil - Elsie Santé,10.17839,16.744333333333334
Pharmacie Lcce -Pharmacie du centre,PHARMACIE DU MARCHÉ,9.36507,13.433
Pharmacie Lcce -Pharmacie du centre,Pharmacie Lepesme,32.78014,34.36483333333333
Pharmacie Lcce -Pharmacie du centre,Pharmacie de la Gare,0.0,0.0
Pharmacie de l'Hotel de Ville,PHARMACIE DU PARC,31.51023,29.327333333333335
Pharmacie de l'Hotel de Ville,Pharmacie Lcce -Pharmacie du centre,35.91589,33.6685
Pharmacie de l'Hotel de Ville,Pharmacie Godart,45.70454,43.7115
Pharmacie de l'Hotel de Ville,Pharmacie de Acy en Multien,26.13438,33.10466666666667
Pharmacie de l'Hotel de Ville,Pharmacie Principale,43.45439,52.387166666666666
Pharmacie de l'Hotel de Ville,Pharmacie Dufour,45.618559999999995,55.016333333333336
Pharmacie de l'Hotel de Ville,Pharmacie De Mouroux,19.37398,24.03166666666667
Pharmacie de l'Hotel de Ville,Pharmacie Forum Santé de Rebais SELAS,16.30441,21.8645
Pharmacie de l'Hotel de Ville,Pharmacie du Breon,45.35252,41.72116666666667
Pharmacie de l'Hotel de Ville,Pharmacie des Remparts,43.25975,51.82033333333333
Pharmacie de l'Hotel de Ville,Pharmacie ROSSET,14.77586,20.062
Pharmacie de l'Hotel de Ville,Pharmacie Parisot,25.04822,32.533
Pharmacie de l'Hotel de Ville,Pharmacie du Haudouin,39.610879999999995,48.63866666666667
Pharmacie de l'Hotel de Ville,La Pharmacie de Guignes,55.69746,53.8545
Pharmacie de l'Hotel de Ville,Pharmacie Khin de St Germain sur Morin,31.17077,28.506666666666668
Pharmacie de l'Hotel de Ville,Pharmacie de Beton-Bazoches,34.42252,43.31283333333333
Pharmacie de l'Hotel de Ville,Pharmacie Centrale Noël,17.743509999999997,23.15266666666667
Pharmacie de l'Hotel de Ville,Grande Pharmacie Du centre,42.689949999999996,50.12016666666667
Pharmacie de l'Hotel de Ville,Pharmacie Avicenne,36.15142,36.167833333333334
Pharmacie de l'Hotel de Ville,Pharmacie de St Mard Elsie,268.30903,172.57866666666666
Pharmacie de l'Hotel de Ville,Pharmacie de Chessy,37.633489999999995,35.4195
Pharmacie de l'Hotel de Ville,PHARMACIE DE JUILLY,46.473589999999994,42.986999999999995
Pharmacie de l'Hotel de Ville,PHARMACIE PRINCIPALE,51.55263,44.83433333333333
Pharmacie de l'Hotel de Ville,Pharmacie de Quincy-Voisins,25.26929,25.12683333333333
Pharmacie de l'Hotel de Ville,Pharmacie principale de Mareuil - Elsie Santé,28.01943,26.572333333333333
Pharmacie de l'Hotel de Ville,PHARMACIE DU MARCHÉ,21.841939999999997,27.603666666666665
Pharmacie de l'Hotel de Ville,Pharmacie Lepesme,53.61699,48.65233333333333
Pharmacie de l'Hotel de Ville,Pharmacie de la Gare,35.91589,33.6685
Pharmacie Godart,PHARMACIE DU PARC,33.29075,32.5275
Pharmacie Godart,Pharmacie Lcce -Pharmacie du centre,24.5028,28.2015
Pharmacie Godart,Pharmacie de l'Hotel de Ville,43.84045,40.344833333333334
Pharmacie Godart,Pharmacie de Acy en Multien,53.733160000000005,51.781666666666666
Pharmacie Godart,Pharmacie Principale,90.15745,71.13633333333334
Pharmacie Godart,Pharmacie Dufour,62.67129,61.76116666666667
Pharmacie Godart,Pharmacie De Mouroux,22.85934,27.9415
Pharmacie Godart,Pharmacie Forum Santé de Rebais SELAS,42.87275,40.913333333333334
Pharmacie Godart,Pharmacie du Breon,1.75247,3.440833333333333
Pharmacie Godart,Pharmacie des Remparts,89.89119000000001,70.462
Pharmacie Godart,Pharmacie ROSSET,36.71325,39.76533333333334
Pharmacie Godart,Pharmacie Parisot,17.50919,21.961000000000002
Pharmacie Godart,Pharmacie du Haudouin,77.32248,56.81916666666667
Pharmacie Godart,La Pharmacie de Guignes,11.82245,15.558833333333332
Pharmacie Godart,Pharmacie Khin de St Germain sur Morin,20.59183,22.50133333333333
Pharmacie Godart,Pharmacie de Beton-Bazoches,28.72483,24.709333333333333
Pharmacie Godart,Pharmacie Centrale Noël,24.11034,30.502666666666666
Pharmacie Godart,Grande Pharmacie Du centre,68.07155999999999,53.24083333333333
Pharmacie Godart,Pharmacie Avicenne,25.57248,30.1625
Pharmacie Godart,Pharmacie de St Mard Elsie,307.30581,198.0445
Pharmacie Godart,Pharmacie de Chessy,27.84687,32.93783333333333
Pharmacie Godart,PHARMACIE DE JUILLY,48.25411,46.18716666666667
Pharmacie Godart,PHARMACIE PRINCIPALE,11.643979999999999,11.246333333333332
Pharmacie Godart,Pharmacie de Quincy-Voisins,23.82348,28.171499999999998
Pharmacie Godart,Pharmacie principale de Mareuil - Elsie Santé,29.79995,29.772333333333332
Pharmacie Godart,PHARMACIE DU MARCHÉ,19.28714,22.390333333333334
Pharmacie Godart,Pharmacie Lepesme,7.17056,9.389333333333333
Pharmacie Godart,Pharmacie de la Gare,24.5028,28.2015
Pharmacie de Acy en Multien,PHARMACIE DU PARC,21.89182,26.908666666666665
Pharmacie de Acy en Multien,Pharmacie Lcce -Pharmacie du centre,28.31975,32.29233333333333
Pharmacie de Acy en Multien,Pharmacie de l'Hotel de Ville,25.88046,31.476
Pharmacie de Acy en Multien,Pharmacie Godart,53.82071,51.835
Pharmacie de Acy en Multien,Pharmacie Principale,16.916520000000002,19.4625
Pharmacie de Acy en Multien,Pharmacie Dufour,19.484180000000002,21.911833333333334
Pharmacie de Acy en Multien,Pharmacie De Mouroux,40.45353,47.31516666666666
Pharmacie de Acy en Multien,Pharmacie Forum Santé de Rebais SELAS,41.18168,50.314499999999995
Pharmacie de Acy en Multien,Pharmacie du Breon,53.4687,49.84466666666666
